timestamp,wrist,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2017-07-16 14:24:37.239027023,1,0,-0.4137,-0.7929,-0.1308,0.0963,-0.6135,-0.3601
2017-07-16 14:24:37.394309750,1,0,0.5868,-0.0045,-0.7966,-0.3456,-0.305,0.0911
2017-07-16 14:24:37.439577996,1,0,-0.4776,-1.2484,-0.2985,1.4884,0.8039,-1.4461
2017-07-16 14:24:37.639683008,1,0,-0.359,-0.7077,-0.2953,0.7908,-0.2759,-0.6002
2017-07-16 14:24:37.839389979,1,0,-0.3103,-1.0818,-0.3098,-0.3166,0.3017,0.1276
2017-07-16 14:24:38.239434003,1,0,-0.267,-0.728,-0.0857,-1.0264,0.0249,0.9264
2017-07-16 14:24:38.394440290,1,0,-0.4448,-1.3069,-0.1661,-1.1094,0.5266,1.2453
2017-07-16 14:24:38.439431011,1,0,-0.3722,-0.8424,-0.1497,0.162,-0.4387,-0.6017
2017-07-16 14:24:38.639424979,1,0,-0.3777,-1.2581,-0.2386,1.2304,0.8834,-0.6685
2017-07-16 14:24:38.839583992,1,0,-0.4647,-0.6525,-0.2817,0.9597,0.534,-0.5149
2017-07-16 14:24:39.239430010,1,0,-0.4755,-1.1085,-0.1643,-1.1431,-0.1513,0.8823
2017-07-16 14:24:39.394920110,1,0,-0.3954,-1.2151,-0.3473,-0.8287,0.2674,0.0338
2017-07-16 14:24:39.439262986,1,0,-0.2639,-0.6748,-0.0874,-0.8573,-0.0929,0.7778
2017-07-16 14:24:39.639281988,1,0,-0.4465,-1.1819,-0.2722,0.7739,-0.2857,-1.357
2017-07-16 14:24:39.839434981,1,0,-0.3176,-0.8529,-0.2843,0.448,-1.3027,-0.5814
2017-07-16 14:24:40.239480972,1,0,-0.4571,-1.1957,-0.3966,-0.5483,0.3301,0.1695
2017-07-16 14:24:40.392680160,1,0,-0.3922,-0.6572,-0.2796,0.7763,0.565,-0.3474
2017-07-16 14:24:40.439145028,1,0,-0.4186,-1.0347,-0.1933,-1.3515,-0.0494,1.2119
2017-07-16 14:24:40.639433979,1,0,-0.2579,-0.5632,-0.0763,-0.5556,0.1335,0.704
2017-07-16 14:24:40.838585972,1,0,-0.4838,-1.2451,-0.2863,1.2432,0.4727,-1.8015
2017-07-16 14:24:41.239507019,1,0,-0.399,-0.7236,-0.3058,0.3416,0.8526,-0.2117
2017-07-16 14:24:41.383570190,1,0,-0.2269,-0.8145,-0.2983,0.3175,-1.4634,-0.0626
2017-07-16 14:24:41.439437985,1,0,-0.608,-1.4537,-0.3621,-0.9113,0.1093,0.38
2017-07-16 14:24:41.639434993,1,0,-0.2654,-0.7679,-0.095,-0.7891,0.5584,1.1572
