timestamp,wrist,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2017-07-01 16:43:31.879880011,0,0,0.4633,-0.5717,-0.8552,0.6083,0.2313,-0.2946
2017-07-01 16:43:32.279901981,0,0,0.2629,-0.6443,-0.0978,-0.4129,-0.1266,-0.6794
2017-07-01 16:43:32.480027019,0,0,0.5032,-1.2597,-0.265,1.2052,0.4827,2.6834
2017-07-01 16:43:32.679123997,0,0,0.3726,-1.0475,-0.2157,0.3766,0.3116,0.4098
2017-07-01 16:43:32.798950190,0,0,0.2897,-0.9577,-0.122,-0.9784,-0.6695,-1.849
2017-07-01 16:43:32.879848003,0,0,0.3643,-0.7534,-0.291,0.2663,-0.5295,0.0642
2017-07-01 16:43:33.279853999,0,0,0.5672,-1.0747,-0.1891,-0.3365,-1.7768,-1.1033
2017-07-01 16:43:33.480011999,0,0,0.2765,-0.8111,-0.0194,-0.4746,-0.4128,-0.7366
2017-07-01 16:43:33.679239988,0,0,0.436,-0.9267,-0.2287,1.1851,-0.5269,1.7198
2017-07-01 16:43:33.798869720,0,0,0.3668,-0.9994,-0.2608,-0.3265,-0.2841,-0.381
2017-07-01 16:43:33.880051970,0,0,0.3935,-1.047,-0.2908,0.6876,-0.1148,0.3167
2017-07-01 16:43:34.279861986,0,0,0.1591,-1.1033,-0.1713,-0.0596,0.3277,0.1266
2017-07-01 16:43:34.479946970,0,0,0.412,-1.027,-0.1801,-0.3811,-0.5088,-0.1056
2017-07-01 16:43:34.679174005,0,0,0.0945,-0.8423,-0.083,-0.9203,1.8398,-0.6735
2017-07-01 16:43:34.798500180,0,0,0.3571,-0.7484,-0.2756,0.1014,0.1966,-0.4485
2017-07-01 16:43:34.879836022,0,0,0.2637,-0.8283,-0.1031,0.0102,0.0861,0.0425
2017-07-01 16:43:35.280170023,0,0,0.218,-0.8356,-0.1613,-0.1597,1.313,-0.0165
2017-07-01 16:43:35.479811012,0,0,0.278,-0.857,-0.2465,0.3279,-0.2164,0.1132
